epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,154557,0.51798,0.54802,0.95012,0.50728,0.61698,0.50077,0.40758,0.62734,0.74253,1.04083,0.0002872,0.0002872,0.0002872
74,156681,0.5098,0.52961,0.94701,0.48566,0.6458,0.51279,0.41515,0.64011,0.75804,1.0558,0.0002773,0.0002773,0.0002773
75,158799,0.50719,0.53629,0.94693,0.49793,0.66346,0.48711,0.39501,0.62366,0.76603,1.0445,0.0002674,0.0002674,0.0002674
76,160936,0.49878,0.52788,0.94112,0.47727,0.68089,0.49544,0.40168,0.62986,0.77198,1.04518,0.0002575,0.0002575,0.0002575
77,163055,0.50822,0.52536,0.947,0.4665,0.68639,0.4927,0.40144,0.61279,0.75875,1.04036,0.0002476,0.0002476,0.0002476
78,165173,0.49328,0.51061,0.94145,0.50665,0.66045,0.4931,0.39897,0.61739,0.74632,1.03604,0.0002377,0.0002377,0.0002377
79,167278,0.48505,0.5192,0.94032,0.50098,0.66499,0.50214,0.41097,0.61373,0.76668,1.03713,0.0002278,0.0002278,0.0002278
80,169404,0.48679,0.50844,0.93548,0.47756,0.66391,0.49347,0.40024,0.60664,0.7688,1.04006,0.0002179,0.0002179,0.0002179
81,171290,0.48589,0.50524,0.94181,0.49784,0.64598,0.50318,0.41344,0.60906,0.76549,1.04331,0.000208,0.000208,0.000208
82,173093,0.47949,0.49642,0.93307,0.50252,0.65597,0.50115,0.40992,0.60345,0.77763,1.03186,0.0001981,0.0001981,0.0001981
83,174953,0.47804,0.48812,0.93334,0.47014,0.7842,0.51566,0.42459,0.61247,0.76403,1.03778,0.0001882,0.0001882,0.0001882
84,176700,0.47047,0.4898,0.93746,0.45728,0.68791,0.48052,0.39861,0.59665,0.77579,1.02626,0.0001783,0.0001783,0.0001783
85,178808,0.47046,0.48436,0.93013,0.4751,0.72952,0.50737,0.41411,0.60826,0.75979,1.02804,0.0001684,0.0001684,0.0001684
86,180915,0.46757,0.47611,0.92781,0.48479,0.64992,0.49267,0.40656,0.59722,0.75039,1.02605,0.0001585,0.0001585,0.0001585
